c,v,clauses_vars_ratio,vars_clauses_ratio,vcg_var_mean,vcg_var_coeff,vcg_var_min,vcg_var_max,vcg_var_entropy,vcg_clause_mean,vcg_clause_coeff,vcg_clause_min,vcg_clause_max,vcg_clause_entropy,vg_mean,vg_coeff,vg_min,vg_max,pnc_ratio_mean,pnc_ratio_coeff,pnc_ratio_min,pnc_ratio_max,pnc_ratio_entropy,pnv_ratio_mean,pnv_ratio_coeff,pnv_ratio_min,pnv_ratio_max,pnv_ratio_entropy,pnv_ratio_stdev,binary_ratio,ternary_ratio,ternary+,hc_fraction,hc_var_mean,hc_var_coeff,hc_var_min,hc_var_max,hc_var_entropy,unit_props_at_depth_1,unit_props_at_depth_4,unit_props_at_depth_16,unit_props_at_depth_64,unit_props_at_depth_256,mean_depth_to_contradiction_over_vars,estimate_log_number_nodes_over_vars,vig_modularty,vig_d_poly,cvig_db_poly,variable_alpha
45,20,2.25,0.4444444444444444,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.0,0.11111111111111112,0.282842712474619,0.1,0.2,0.34883209584303193,0.15555555555555556,0,0.15555555555555556,0.15555555555555556,1.0,0,1.0,1.0,0.0,0.6,0,0.6,0.6,0.0,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.08888888888888889,0,0.08888888888888889,0.08888888888888889,0.0,0.0,0.0,0.25,0.25,0.25,0.8934923876717417,0.9289380251102252,0.6388888888888888,2.6832320402676366,2.1936629768479374,0
66,15,4.4,0.22727272727272727,0.15151515151515152,0,0.15151515151515152,0.15151515151515152,0.0,0.15151515151515152,0.37947331922020544,0.13333333333333333,0.3333333333333333,0.30463609734923813,0.12121212121212122,0,0.12121212121212122,0.12121212121212122,1.0,0,1.0,1.0,0.0,0.6,0,0.6,0.6,0.0,0.0,0.9090909090909091,0.0,0.9090909090909091,0.9090909090909091,0.12121212121212122,0,0.12121212121212122,0.12121212121212122,0.0,0.0,0.0,0.4,0.4,0.4,0.9904992338091781,0.9953050146352033,0.12444444444444457,2.4495700980154624,2.383405228226514,0
35,10,3.5,0.2857142857142857,0.22857142857142856,0,0.22857142857142856,0.22857142857142856,0.0,0.2285714285714286,0.3061862178478973,0.2,0.4,0.410116318288409,0.17142857142857143,0,0.17142857142857143,0.17142857142857143,1.0,0,1.0,1.0,0.0,0.5,0,0.5,0.5,0.0,0.0,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.17142857142857143,0,0.17142857142857143,0.17142857142857143,0.0,0.0,0.6,0.6,0.6,0.6,0.9846633085896077,0.9918123385540593,0.08000000000000004,2.1202420871714045,2.0693996170115923,0
80,20,4.0,0.25,0.2,0,0.2,0.2,0.0,0.2,0,0.2,0.2,0.0,0.075,0,0.075,0.075,0.425,0.6197443384031023,0.0,1.0,0.7795648454405358,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.0775,0.2821428336215468,0.025,0.1,0.8556886672556694,0.0,0.0,0.45,0.45,0.45,0.994225941422594,0.998071818716934,0.31499999999999995,2.151347507823509,2.306998842808716,0
922,148,6.22972972972973,0.16052060737527116,0.019376209180981416,0.2794738860198075,0.010845986984815618,0.03036876355748373,2.4089061777082286,0.019376209180981416,0.5748865355521937,0.013513513513513514,0.04054054054054054,0.5229816404869324,0.027833147681303863,0.2991998046809959,0.010845986984815618,0.046637744034707156,0.9956616052060737,0.03794437321020516,0.6666666666666667,1.0,0.0694373435648681,0.1181067057064836,0.3574577489119658,0.03703703703703709,0.19999999999999996,2.158128065589315,0.04221815715324765,0.7830802603036876,0.0,0.7830802603036876,0.7830802603036876,0.010582165679779562,0.25956875957213804,0.004338394793926247,0.016268980477223426,2.2575904796147785,0.0,0.0,0.0,0.6824324324324325,0.6824324324324325,0.6186655405405406,0.8626605880630922,0.39945892928750976,3.6998940842493737,3.3074792890822584,8.015411409638924
52,21,2.4761904761904763,0.40384615384615385,0.14285714285714285,0.23709284626803756,0.11538461538461539,0.23076923076923078,0.8324075743474854,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.0,0.12454212454212454,0.09065314710248491,0.11538461538461539,0.15384615384615385,1.0,0,1.0,1.0,0.0,0.12698412698412698,1.2747548783981961,0.0,0.33333333333333337,0.6645284386549151,0.16187363535215188,0.0,1.0,1.0,0.5,0.07142857142857144,0.34401045807689073,0.057692307692307696,0.11538461538461539,0.5488743844849944,0.0,0.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9336227236583109,0.9670234690562,0.28550295857988167,2.6957743180976155,2.2606003001890644,0
325,70,4.642857142857143,0.2153846153846154,0.03076923076923077,0,0.03076923076923077,0.03076923076923077,0.0,0.030769230769230767,0.40089186286863665,0.02857142857142857,0.1,0.13740600645276865,0.046153846153846156,0,0.046153846153846156,0.046153846153846156,1.0,0,1.0,1.0,0.0,0.8,0,0.8,0.8,0.0,0.0,0.9692307692307692,0.0,0.9692307692307692,0.9692307692307692,0.027692307692307693,0,0.027692307692307693,0.027692307692307693,0.0,0.0,0.0,0.0,0.17142857142857143,0.17142857142857143,0.8240661534074708,0.8677457588453779,0.826373626373626,3.8084367391248013,3.1307487504224802,0
40,15,2.6666666666666665,0.375,0.2,0,0.2,0.2,0.0,0.2,0.5773502691896257,0.13333333333333333,0.4,0.5623351446188083,0.35,0,0.35,0.35,1.0,0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.1,0,0.1,0.1,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.9229490376622547,0.9424258559487,0.4666666666666669,3.9068905956085187,2.8816425068336557,0
75,20,3.75,0.26666666666666666,0.14666666666666667,0,0.14666666666666667,0.14666666666666667,0.0,0.14666666666666667,0.15075567228888181,0.1,0.2,0.6277052571971504,0.17333333333333334,0,0.17333333333333334,0.17333333333333334,0.4666666666666667,0.5714285714285714,0.33333333333333337,1.0,0.5004024235381879,0.2727272727272727,0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.13333333333333333,0.8,0.9333333333333333,0.9333333333333333,0.13333333333333333,0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.2,0.2,0.2,0.6312927964941112,0.6902856703850636,0.13999999999999996,2.7909140763273452,2.569784627796369,0
34870,210,166.04761904761904,0.006022368798394035,0.009635790077430456,0,0.009635790077430456,0.009635790077430456,0.0,0.009635790077430456,0.6861498482813447,0.009523809523809525,0.4,0.0026259402475575667,0.005563521651849728,0,0.005563521651849728,0.005563521651849728,1.0,0,1.0,1.0,0.0,0.9761904761904762,0,0.9761904761904762,0.9761904761904762,0.0,0.0,0.9997132205334098,0.0,0.9997132205334098,0.9997132205334098,0.009521078290794379,0,0.009521078290794379,0.009521078290794379,0.0,0.0,0.0,0.0,0.0,0.0,0.9971428571428572,0.9977907280963819,0.07518072289158109,5.066046350110732,5.952102031056036,0
