Instance name                                                                                                    | Checked answer | CPU time | Solver name  | Solver version
________________________________________________________________________________________________________________________________________________________________________
crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf                             | SAT            | 748.773  | CMUSAT       | 2007-02-08
crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf                             | SAT            | 2303.52  | MiraXT       | v3        
crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf                             | SAT            | 2584.87  | minisat      | SAT 2007  
crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf                             | UNKNOWN EXCODE | 4999     | SATzilla     | CRAFTED   
crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf                             | UNKNOWN TO     | 5000.03  | March KS     | 2007-02-08
crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf                             | UNKNOWN TO     | 5000.04  | MXC          | 2007-02-08
crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf                             | UNKNOWN TO     | 5000.07  | Rsat         | 2007-02-08
crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf                             | UNKNOWN TO     | 5000.1   | picosat      | 535       
crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf                             | UNKNOWN TO     | 5000.14  | TTS          | 4.0       
crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf                                   | UNSAT          | 296.588  | minisat      | SAT 2007  
crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf                                   | UNSAT          | 518.476  | MiraXT       | v3        
crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf                                   | UNSAT          | 552.751  | MXC          | 2007-02-08
crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf                                   | UNSAT          | 616.986  | SATzilla     | CRAFTED   
crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf                                   | UNSAT          | 678.012  | CMUSAT       | 2007-02-08
crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf                                   | UNSAT          | 4262.65  | Rsat         | 2007-02-08
crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf                                   | UNKNOWN TO     | 5000.09  | picosat      | 535       
crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf                                   | UNKNOWN TO     | 5000.1   | TTS          | 4.0       
crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf                                   | UNKNOWN TO     | 5000.14  | March KS     | 2007-02-08
