                instance  |  sat? |  solver
                          |       |      compsat |     HaifaSat | Jerusat1_2_c | minisat_stat |        sat4j |  SatELiteGTI |  zchaff-2004 | 
--------------------------+-------|--------------+--------------+--------------+--------------+--------------+--------------+--------------+
   een-tipb-sr06-par1.cnf | UNSAT |         15.1 |         35.7 |         11.0 |          1.6 |          6.5 |          2.9 |          2.2 |
   een-tipb-sr06-tc6b.cnf | UNSAT |          2.4 |         52.8 |          2.0 |          0.3 |          1.7 |          1.0 |          0.5 |
    goldb-heqc-desmul.cnf | UNSAT |        372.6 |        124.6 |        ----- |         78.8 |        217.6 |         77.0 |        157.3 |
    goldb-heqc-rotmul.cnf | UNSAT |        ----- |        306.3 |        ----- |        165.0 |        ----- |        257.3 |        136.9 |
   grieu-vmpc-s05-24s.cnf |  SAT  |        ----- |        371.6 |        210.7 |         13.8 |        341.3 |         13.9 |        ----- |
   grieu-vmpc-s05-27r.cnf |  SAT  |        ----- |        ----- |         17.6 |        701.1 |        ----- |        691.8 |        462.9 |
    hoons-vbmc-s04-05.cnf | UNSAT |        ----- |        106.3 |        ----- |        251.1 |        128.0 |         20.5 |        316.4 |
    hoons-vbmc-s04-07.cnf | UNSAT |        ----- |        ----- |        597.0 |        194.9 |        ----- |         53.3 |        ----- |
      manol-pipe-c10b.cnf | UNSAT |        ----- |        ----- |        ----- |        438.4 |        ----- |        618.2 |        618.4 |
   manol-pipe-c10ni_s.cnf | UNSAT |        130.6 |        124.7 |         40.8 |         19.6 |         70.4 |          8.5 |        ----- |
      manol-pipe-c6id.cnf | UNSAT |        ----- |        205.4 |        ----- |        156.1 |        364.7 |         68.4 |        480.1 |
       manol-pipe-c6n.cnf | UNSAT |        362.4 |        124.4 |        ----- |         53.7 |        230.0 |         34.6 |        110.2 |
   manol-pipe-c6nid_s.cnf | UNSAT |        125.2 |         31.5 |        ----- |         96.5 |         66.8 |         57.6 |        663.0 |
      manol-pipe-c7_i.cnf | UNSAT |        243.5 |         43.8 |        ----- |         17.7 |         62.8 |          9.4 |          7.1 |
     manol-pipe-c7idw.cnf | UNSAT |        ----- |        357.6 |        ----- |        483.7 |        713.0 |        566.5 |        865.0 |
      manol-pipe-c8_i.cnf | UNSAT |        279.4 |         45.6 |        ----- |         18.1 |         84.3 |         35.6 |          8.8 |
     manol-pipe-c8b_i.cnf | UNSAT |        ----- |        544.2 |        ----- |        146.1 |        591.0 |         94.6 |        227.3 |
       manol-pipe-c8n.cnf | UNSAT |        ----- |        638.1 |        ----- |        153.9 |        777.6 |         72.8 |        353.7 |
       manol-pipe-f6b.cnf | UNSAT |         25.0 |         30.7 |        111.5 |          4.1 |         25.9 |          2.8 |          5.8 |
       manol-pipe-f6n.cnf | UNSAT |         28.8 |         33.5 |        168.4 |          8.8 |         20.3 |          3.0 |          6.9 |
    manol-pipe-g10idw.cnf | UNSAT |        ----- |        237.4 |        ----- |        244.0 |        ----- |        482.7 |        541.6 |
       manol-pipe-g7n.cnf | UNSAT |         70.7 |         31.9 |        685.9 |          4.2 |         20.8 |          2.1 |         10.0 |
     manol-pipe-g6bid.cnf | UNSAT |         29.8 |         15.0 |        715.5 |          7.7 |         17.4 |          2.5 |         16.6 |
        narai-vpn-10s.cnf | UNSAT |        ----- |        ----- |        ----- |        681.2 |        ----- |        866.7 |        605.4 |
   schup-l2s-s04-abp4.cnf | UNSAT |        ----- |        181.4 |        ----- |        170.9 |        ----- |        122.7 |        ----- |
simon-mixed-s02bis-01.cnf |  SAT  |        ----- |        ----- |        ----- |        215.2 |        186.2 |        607.0 |        ----- |
